Run   NSE           RMSE          KGE           AbsPBIAS      par_POROSITY  par_HBV_BETA  par_FAST_BASEFLOW  par_MAX_PERC  par_MELT      par_SLOW_BASEFLOW  
82    1.789000E-01  1.466880E+01  6.163630E-01  5.399460E+00  5.106787E-02  6.804042E-01  6.048533E-01  7.991797E+01  8.673167E+00  1.775432E-01  
83    1.904080E-01  1.456570E+01  6.179950E-01  7.648610E+00  5.961568E-02  6.804042E-01  6.048533E-01  7.991797E+01  8.673167E+00  1.775432E-01  
84    1.495310E-01  1.492880E+01  6.053730E-01  5.470950E+00  5.106787E-02  6.804042E-01  6.048533E-01  7.991797E+01  1.000000E+01  1.775432E-01  
85    1.764160E-01  1.469100E+01  6.152890E-01  5.396530E+00  5.106787E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  1.775432E-01  
86    1.764160E-01  1.469100E+01  6.152880E-01  5.396530E+00  5.106787E-02  6.804042E-01  6.518837E-01  6.904624E+01  8.673167E+00  1.775432E-01  
87    1.502850E-01  1.492220E+01  6.056320E-01  5.467570E+00  5.106787E-02  6.804042E-01  6.048533E-01  6.904624E+01  9.967759E+00  1.775432E-01  
88    1.663570E-01  1.478040E+01  6.107330E-01  6.084380E+00  5.106787E-02  1.230118E+00  6.048533E-01  6.904624E+01  8.673167E+00  1.775432E-01  
89    1.644160E-01  1.479760E+01  6.099180E-01  6.147690E+00  5.106787E-02  1.340175E+00  6.048533E-01  6.904624E+01  8.673167E+00  1.775432E-01  
90    1.997410E-01  1.448150E+01  6.238390E-01  6.937330E+00  5.466601E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  1.680171E-01  
91    1.887760E-01  1.458030E+01  6.193180E-01  6.580720E+00  5.466601E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  1.738860E-01  
92    2.774540E-01  1.376040E+01  6.197980E-01  1.192270E+01  5.466601E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  1.042346E-01  
93    2.637820E-01  1.388990E+01  6.128480E-01  1.247770E+01  5.466601E-02  1.844547E+00  6.048533E-01  6.904624E+01  8.673167E+00  1.042346E-01  
94    2.791160E-01  1.374450E+01  6.139660E-01  1.236550E+01  5.466601E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  9.979534E-02  
95    2.803710E-01  1.373260E+01  6.041410E-01  1.302350E+01  5.466601E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  9.363097E-02  
96    2.674620E-01  1.385520E+01  6.326130E-01  1.056000E+01  5.466601E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  1.191393E-01  
97    2.696670E-01  1.383430E+01  6.298970E-01  1.168370E+01  5.897764E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  1.191393E-01  
98    2.595320E-01  1.393000E+01  6.244410E-01  1.175100E+01  5.897764E-02  6.804042E-01  6.048533E-01  6.904624E+01  9.944398E+00  1.191393E-01  
99    2.697770E-01  1.383330E+01  6.298520E-01  1.168410E+01  5.897764E-02  6.804042E-01  6.048533E-01  7.020543E+01  8.673167E+00  1.191393E-01  
100   2.674100E-01  1.385570E+01  6.303660E-01  1.167700E+01  5.897764E-02  6.804042E-01  6.048533E-01  6.058862E+01  8.673167E+00  1.191393E-01  
101   2.725800E-01  1.380670E+01  6.273250E-01  1.200080E+01  5.897764E-02  6.804042E-01  6.048533E-01  7.020543E+01  8.673167E+00  1.154187E-01  
102   2.612230E-01  1.391410E+01  6.339430E-01  1.090630E+01  5.897764E-02  6.804042E-01  6.048533E-01  7.020543E+01  8.673167E+00  1.284162E-01  
103   2.477240E-01  1.404060E+01  6.274420E-01  1.096280E+01  5.897764E-02  6.804042E-01  6.048533E-01  7.020543E+01  1.000000E+01  1.284162E-01  
