time,date,hour,Snow Refreeze[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Canopy Evaporation[mm],Canopy Evaporation[mm],Canopy Snow Sublimation[mm],Canopy Snow Sublimation[mm],Snow Balance[mm],Overflow[mm],Infiltration[mm],Infiltration[mm],Flush[mm],Soil Evaporation[mm],Soil Evaporation[mm],Capillary Rise[mm],Lake Evaporation[mm],Lake Evaporation[mm],Percolation[mm],Baseflow[mm],Baseflow[mm]
,,from:,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,CANOPY,AET,CANOPY_SNOW,AET,SNOW,SNOW_LIQ,PONDED_WATER,PONDED_WATER,SURFACE_WATER,SOIL[0],AET,SOIL[1],SOIL[2],AET,SOIL[1],SOIL[1],SOIL[2]
,,to:,SNOW,PONDED_WATER,CANOPY,CANOPY_SNOW,ATMOS_PRECIP,ATMOSPHERE,SNOW,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,SOIL[2],SURFACE_WATER,ATMOS_PRECIP,ATMOS_PRECIP,ATMOSPHERE,AET,ATMOSPHERE,AET,SNOW_LIQ,PONDED_WATER,SOIL[0],SURFACE_WATER,SOIL[1],ATMOSPHERE,AET,SOIL[0],ATMOSPHERE,AET,SOIL[2],SURFACE_WATER,SURFACE_WATER
52,2013-02-22,00:00:00.00,1.77846,53.5359,1.48456,3.25421,0,0,91.1553,1.93761,0,0,0,3.36364,0,0,1.48456,1.48456,3.25421,3.25421,29.9789,30.138,42.043,41.6309,44.9945,0.525969,0.525969,28.1774,1.60312,1.60312,13.4534,0,11.5307
53,2013-02-23,00:00:00.00,1.77846,53.5359,1.48456,3.28131,0,0,91.9146,1.93761,0,0,0,3.38112,0,0,1.48456,1.48456,3.28131,3.28131,29.9789,30.138,42.043,41.6309,45.012,0.532003,0.532003,28.1774,1.72712,1.72712,13.4534,0,11.5516
54,2013-02-24,00:00:00.00,1.77846,53.5359,1.48456,3.43039,0,0,96.0903,1.93761,0,0,0,3.47722,0,0,1.48456,1.48456,3.43039,3.43039,29.9789,30.138,42.043,41.6309,45.1081,0.541879,0.541879,28.1774,1.90094,1.90094,13.4534,0,11.5517
55,2013-02-25,00:00:00.00,1.77846,53.5359,1.48456,3.43039,0,0,96.0903,1.93761,0,0,0,3.47722,0,0,1.48456,1.48456,3.43039,3.43039,29.9789,30.138,42.043,41.6309,45.1081,0.591128,0.591128,28.1774,1.90155,1.90155,13.4534,0,11.5517
56,2013-02-26,00:00:00.00,1.77846,53.5359,1.48456,3.43716,0,0,96.2801,1.93761,0,0,0,3.48159,0,0,1.48456,1.48456,3.43716,3.43716,29.9789,30.138,42.043,41.6309,45.1124,0.634391,0.634391,28.1774,1.90173,1.90173,13.4534,0,11.5517
57,2013-02-27,00:00:00.00,1.77846,53.5359,1.48456,3.91826,0,0,109.756,1.93761,0,0,0,3.79174,0,0,1.48456,1.48456,3.91826,3.91826,29.9789,30.138,42.043,41.6309,45.4226,0.642229,0.642229,28.1774,1.90173,1.90173,13.4534,0,11.5517
58,2013-02-28,00:00:00.00,1.77846,53.5359,1.49345,4.31307,0,0,120.816,2.26954,0,0,0,4.05385,0,0,1.49345,1.49345,4.31307,4.31307,30.945,30.138,42.043,41.6309,45.6847,0.650538,0.650538,28.1774,1.90173,1.90173,13.4534,0,11.5517
59,2013-03-01,00:00:00.00,2.76327,53.5359,1.49345,4.31307,0,0,120.816,2.26954,0,0,0,4.05385,0,0,1.49345,1.49345,4.31307,4.31307,30.945,30.138,42.043,41.6309,45.6847,0.699787,0.699787,28.1774,1.90173,1.90173,13.4534,0,11.5517
60,2013-03-02,00:00:00.00,3.0765,53.5359,1.49345,4.31307,0,0,120.816,2.26954,0,0,0,4.05385,0,0,1.49345,1.49345,4.31307,4.31307,30.945,30.138,42.043,41.6309,45.6847,0.699787,0.699787,28.1774,1.90173,1.90173,13.4534,0,11.5517
61,2013-03-03,00:00:00.00,3.0765,53.5359,1.49345,4.31307,0,0,120.816,2.26954,0,0,0,4.05385,0,0,1.49345,1.49345,4.31307,4.31307,30.945,30.138,42.043,41.6309,45.6847,0.699787,0.699787,28.1774,1.90173,1.90173,13.4534,0,11.5517
62,2013-03-04,00:00:00.00,3.0765,53.5359,1.49345,4.31307,0,0,120.816,2.26954,0,0,0,4.05385,0,0,1.49345,1.49345,4.31307,4.31307,30.945,30.138,42.043,41.6309,45.6847,0.699787,0.699787,28.1774,1.90173,1.90173,13.4534,0,11.5517
63,2013-03-05,00:00:00.00,3.0765,53.5359,1.49345,4.31307,0,0,120.816,2.26954,0,0,0,4.05385,0,0,1.49345,1.49345,4.31307,4.31307,30.945,30.138,42.043,41.6309,45.6847,0.699787,0.699787,28.1774,1.90173,1.90173,13.4534,0,11.5517
64,2013-03-06,00:00:00.00,3.0765,53.5359,1.49345,4.31307,0,0,120.816,2.26954,0,0,0,4.05385,0,0,1.49345,1.49345,4.31307,4.31307,30.945,30.138,42.043,41.6309,45.6847,0.699787,0.699787,28.1774,1.90173,1.90173,13.4534,0,11.5517
65,2013-03-07,00:00:00.00,3.0765,53.5359,1.49345,4.37406,0,0,122.524,2.26954,0,0,0,4.09316,0,0,1.49345,1.49345,4.37406,4.37406,30.945,30.138,42.043,41.6309,45.724,0.763929,0.763929,28.1774,1.90173,1.90173,13.4534,0,11.5517
66,2013-03-08,00:00:00.00,3.0765,53.5359,1.49345,4.39438,0,0,123.093,2.26954,0,0,0,4.10627,0,0,1.49345,1.49345,4.39438,4.39438,38.069,34.239,42.6964,45.0785,49.1847,0.916139,0.916139,31.625,1.90173,1.90173,13.4534,0,11.5517
67,2013-03-09,00:00:00.00,3.0765,53.5359,1.49345,4.39438,0,0,123.093,2.26954,0,0,0,4.10627,0,0,1.49345,1.49345,4.39438,4.39438,45.2644,41.647,43.7005,51.4825,55.5887,1.08631,1.08631,35.5504,1.90173,1.90173,15.9321,0,11.8158
68,2013-03-10,00:00:00.00,5.10168,53.5359,1.49345,4.39438,0,0,123.093,2.26954,0,0,0,4.10627,0,0,1.49345,1.49345,4.39438,4.39438,45.2644,41.647,43.7005,51.4825,55.5887,1.20432,1.20432,35.5504,2.41883,2.41883,15.9321,0,11.9966
69,2013-03-11,00:00:00.00,5.10168,53.9293,1.56006,4.39438,0,0,123.093,4.36507,0,0,0,4.16305,0,0,1.56006,1.56006,4.39438,4.39438,72.6335,69.9669,46.7694,77.1268,81.2898,1.3161,1.3161,39.014,3.16442,3.16442,38.1127,0,14.4422
70,2013-03-12,00:00:00.00,5.10168,75.0475,2.06585,4.39438,0,0,123.093,4.36507,0,0,0,4.64358,0,0,2.06585,2.06585,4.39438,4.39438,99.0078,97.2574,50.4244,121.88,126.524,1.35028,1.35028,41.1601,4.04305,4.04305,80.7203,0,21.0733
71,2013-03-13,00:00:00.00,5.10168,75.0475,2.06585,4.41471,0,0,123.663,4.36507,0,0,0,4.65668,0,0,2.06585,2.06585,4.41471,4.41471,101.385,99.6977,50.5292,124.216,128.873,1.50249,1.50249,42.4597,4.92168,4.92168,81.7563,0,27.0147
72,2013-03-14,00:00:00.00,6.05274,75.0475,2.06585,4.43504,0,0,124.232,4.36507,0,0,0,4.66979,0,0,2.06585,2.06585,4.43504,4.43504,101.385,99.6977,50.5292,124.216,128.886,1.50725,1.50725,42.4597,5.03679,5.03679,81.7563,0,32.3108
73,2013-03-15,00:00:00.00,6.05274,75.0475,2.06585,4.43504,0,0,124.232,4.36507,0,0,0,4.66979,0,0,2.06585,2.06585,4.43504,4.43504,101.385,99.6977,50.5292,124.216,128.886,1.50725,1.50725,42.4597,5.03679,5.03679,81.7563,0,37.0425
74,2013-03-16,00:00:00.00,6.05274,75.0475,2.06585,4.46214,0,0,124.991,4.36507,0,0,0,4.68726,0,0,2.06585,2.06585,4.46214,4.46214,101.385,99.6977,50.5292,124.216,128.903,1.52688,1.52688,42.4597,5.26171,5.26171,81.7563,0,41.2462
75,2013-03-17,00:00:00.00,6.05274,75.0475,2.06585,4.5028,0,0,126.13,4.36507,0,0,0,4.71347,0,0,2.06585,2.06585,4.5028,4.5028,101.385,99.6977,50.5292,124.216,128.929,1.52688,1.52688,42.4597,5.26171,5.26171,81.7563,0,45.0019
76,2013-03-18,00:00:00.00,6.05274,75.0475,2.06585,4.5028,0,0,126.13,4.36507,0,0,0,4.71347,0,0,2.06585,2.06585,4.5028,4.5028,101.385,99.6977,50.5292,124.216,128.929,1.52688,1.52688,42.4597,5.26171,5.26171,81.7563,0,48.3575
