time,date,hour,precip [mm/day],02GA041 [m3/s],02GA-19 [m3/s],02GA-17 [m3/s],16018409002 [m3/s],02GA-13 [m3/s],02GA022 [m3/s],16018406702&02GA014 [m3/s],02GA027 [m3/s],02GA001 [m3/s],02GA016 [m3/s],02GA016 (observed) [m3/s],02GA016 (res. inflow) [m3/s]
2877,2020-11-17,00:00.0,2.0095,1.57506,4.18451,4.80439,7.21315,8.86851,13.9019,14.1938,15.9684,16.2581,9.54925,9.23,16.6469
2878,2020-11-18,00:00.0,0,1.4338,3.80551,4.37474,6.56848,8.07472,12.6517,12.9174,14.5326,14.7955,13.631,14.5,15.1478
2879,2020-11-19,00:00.0,0,1.28103,3.40003,3.90861,5.86861,7.21435,11.3036,11.541,12.9841,13.219,14.1136,14.6,13.5338
2880,2020-11-20,00:00.0,0,1.11728,2.96275,3.40835,5.11707,6.28995,9.85314,10.06,11.3173,11.5217,13.1033,14.6,11.7954
2881,2020-11-21,00:00.0,0,0.937061,2.47873,2.8571,4.28848,5.27024,8.25095,8.42398,9.47545,9.6459,11.5416,14.4,9.87355
2882,2020-11-22,00:00.0,0,0.788764,2.08128,2.40369,3.60711,4.43186,6.93432,7.07958,7.96208,8.10472,9.90778,14.4,8.29473
2883,2020-11-23,00:00.0,17.0807,0.690187,1.81952,2.10289,3.15545,3.87661,6.06424,6.19122,6.96261,7.08715,8.55102,14.2,7.25291
2884,2020-11-24,00:00.0,0,0.616647,1.62565,1.87883,2.81923,3.46355,5.41809,5.53154,6.22074,6.33201,7.5098,13.7,6.48011
2885,2020-11-25,00:00.0,1.6076,0.550943,1.45243,1.67864,2.51884,3.09451,4.84079,4.94215,5.55792,5.65733,6.69625,13.9,5.78965
2886,2020-11-26,00:00.0,12.057,0.990359,2.64957,3.03175,4.56172,5.61076,8.79666,8.98267,10.1133,10.2971,7.59956,13.6,10.5451
2887,2020-11-27,00:00.0,0,1.83767,4.92862,5.63788,8.50611,10.4624,16.383,16.7316,18.8454,19.1845,12.4804,13.8,19.6428
2888,2020-11-28,00:00.0,2.0095,2.22658,5.94121,6.8347,10.3,12.6602,19.797,20.2171,22.7701,23.1773,18.8964,24.1,23.7267
2889,2020-11-29,00:00.0,0,2.11056,5.6152,6.4756,9.73484,11.9617,18.7119,19.1071,21.5165,21.9038,21.9698,29.4,22.4271
2890,2020-11-30,00:00.0,0,1.86481,4.96797,5.70932,8.57798,10.5449,16.5195,16.8677,18.9895,19.3337,21.2926,20.4,19.7971
2891,2020-12-01,00:00.0,11.2532,2.03943,5.44701,6.23825,9.37813,11.5336,18.0847,18.4662,20.788,21.1657,20.839,15.3,21.6725
2892,2020-12-02,00:00.0,2.0095,2.19978,5.88138,6.7321,10.1279,12.4564,19.5284,19.941,22.4505,22.8578,22.1268,15.3,23.4051
2893,2020-12-03,00:00.0,0,1.94657,5.20291,5.95692,8.96157,11.0216,17.2777,17.6427,19.8627,20.2229,22.0603,15.4,20.7066
2894,2020-12-04,00:00.0,5.02374,1.72117,4.59902,5.26688,7.92336,9.74448,15.2742,15.5969,17.5593,17.8775,20.1155,12.6,18.3047
2895,2020-12-05,00:00.0,3.01425,1.51979,4.05948,4.65036,6.99577,8.6034,13.4843,13.7691,15.5012,15.7819,17.9637,8.43,16.1587
2896,2020-12-06,00:00.0,0,1.3382,3.57285,4.09444,6.15933,7.57441,11.8701,12.1208,13.6452,13.8921,15.9441,5.83,14.2233
2897,2020-12-07,00:00.0,0,1.18675,3.16777,3.63092,5.462,6.71671,10.5253,10.7476,12.0992,12.318,14.1552,5.84,12.6114
2898,2020-12-08,00:00.0,0,1.05891,2.8264,3.23975,4.87356,5.99307,9.39123,9.58956,10.7955,10.9907,12.6247,5.87,11.2525
2899,2020-12-09,00:00.0,3.01425,0.944968,2.52219,2.89114,4.34913,5.34816,8.38055,8.55753,9.63369,9.80788,11.2975,5.89,10.0415
2900,2020-12-10,00:00.0,0,0.837359,2.2344,2.5618,3.85366,4.73876,7.4251,7.58189,8.53525,8.6895,10.0946,5.9,8.89627
2901,2020-12-11,00:00.0,0,0.861194,2.29788,2.63785,3.97497,4.88717,7.64772,7.8098,8.79344,8.95082,9.4048,5.88,9.16163
2902,2020-12-12,00:00.0,0.602849,1.21296,3.21411,3.72,5.61052,6.89145,10.7506,10.979,12.3667,12.5841,10.4453,5.88,12.8755
2903,2020-12-13,00:00.0,10.0475,1.80228,4.77667,5.53083,8.31779,10.2159,15.9565,16.2941,18.3565,18.6842,14.2079,10.6,19.1253
2904,2020-12-14,00:00.0,0,1.99752,5.31094,6.13197,9.20561,11.3097,17.6963,18.0698,20.3568,20.7257,18.4352,40.4,21.2233
2905,2020-12-15,00:00.0,3.01425,1.77001,4.70467,5.43349,8.15678,10.0208,15.6783,16.0091,18.0352,18.3619,19.5902,51.6,18.8024
2906,2020-12-16,00:00.0,0,1.57449,4.18434,4.83326,7.25561,8.91353,13.9453,14.2395,16.0416,16.3321,18.231,49.3,16.7238
2907,2020-12-17,00:00.0,1.00475,1.40673,3.73849,4.31828,6.48252,7.96379,12.4594,12.7223,14.3324,14.5919,16.4861,34.3,14.9418
2908,2020-12-18,00:00.0,0,1.25684,3.34016,3.85816,5.7918,7.11525,11.1318,11.3667,12.8052,13.0371,14.8219,20.5,13.3498
2909,2020-12-19,00:00.0,0,1.12292,2.98426,3.44707,5.17468,6.35711,9.94574,10.1556,11.4408,11.648,13.302,16.3,11.9274
2910,2020-12-20,00:00.0,5.02374,1.00328,2.66629,3.07979,4.62332,5.67976,8.88601,9.0735,10.2218,10.4069,11.9413,7.92,10.6565
2911,2020-12-21,00:00.0,0,0.884474,2.34944,2.71504,4.07557,5.00658,7.83174,7.99696,9.00894,9.17194,10.6588,5.76,9.39164
2912,2020-12-22,00:00.0,1.00475,0.76892,2.04045,2.36022,3.54259,4.35135,6.80483,6.94833,7.82744,7.96882,9.43526,5.75,8.15923
2913,2020-12-23,00:00.0,0,0.669828,1.77581,2.05596,3.08562,3.78965,5.9248,6.0497,6.81498,6.93787,8.29589,5.77,7.10325
2914,2020-12-24,00:00.0,2.61235,0.859022,2.28046,2.63783,3.96754,4.87332,7.61308,7.7743,8.75923,8.91599,8.17186,5.79,9.12687
2915,2020-12-25,00:00.0,10.4494,1.45742,3.87741,4.47645,6.75021,8.29324,12.9477,13.2232,14.8997,15.1642,10.8521,5.81,15.5199
2916,2020-12-26,00:00.0,7.03324,1.71682,4.56996,5.27311,7.95774,9.77747,15.2618,15.587,17.5629,17.8738,14.927,5.82,18.2918
2917,2020-12-27,00:00.0,9.04274,1.52697,4.06398,4.68997,7.07777,8.69613,13.5732,13.8624,15.6196,15.896,16.5775,5.82,16.2676
2918,2020-12-28,00:00.0,17.0807,1.35735,3.61191,4.16897,6.29157,7.73,12.0644,12.3215,13.8834,14.1289,15.7132,5.85,14.459
2919,2020-12-29,00:00.0,0,1.20137,3.19581,3.68985,5.56861,6.8415,10.6765,10.9039,12.286,12.5032,14.2315,5.87,12.7949
2920,2020-12-30,00:00.0,5.42564,1.06893,2.8431,3.28307,4.95474,6.08721,9.49886,9.70125,10.9309,11.124,12.7529,8.9,11.3834
2921,2020-12-31,00:00.0,8.23894,0.952266,2.53254,2.92474,4.41397,5.42278,8.46172,8.64201,9.73737,9.90936,11.4159,14.7,10.1404
2922,2021-01-01,00:00.0,0,0.841108,2.23602,2.5833,3.89876,4.78959,7.47259,7.63181,8.59906,8.75079,10.1824,16.6,8.95453
2923,2021-01-02,00:00.0,9.04274,0.738587,1.96227,2.26838,3.42359,4.20555,6.55991,6.69967,7.54871,7.6817,9.0482,16.6,7.86017
2924,2021-01-03,00:00.0,0,0.646952,1.71758,1.9869,2.99887,3.68353,5.74413,5.8665,6.60988,6.72612,7.99051,16.6,6.882
2925,2021-01-04,00:00.0,7.03324,0.5641,1.49627,1.7324,2.61487,3.21152,5.00641,5.11306,5.76087,5.86195,7.04663,13.3,5.99738
2926,2021-01-05,00:00.0,0,0.490075,1.29853,1.50501,2.27177,2.7898,4.34729,4.4399,5.00233,5.08987,6.20694,11.4,5.20703
2927,2021-01-06,00:00.0,0,0.423938,1.12187,1.30185,1.96524,2.41302,3.75841,3.83847,4.32462,4.40005,5.42407,11.4,4.50088
2928,2021-01-07,00:00.0,0,0.364848,0.964027,1.12034,1.69137,2.07638,3.23227,3.30111,3.71911,3.78373,4.73152,11.4,3.86997
2929,2021-01-08,00:00.0,0,0.312054,0.823003,0.958169,1.44668,1.77561,2.76219,2.82102,3.17812,3.23308,4.13093,7.85,3.30629
2930,2021-01-09,00:00.0,0,0.269346,0.709283,0.826994,1.24872,1.53238,2.38248,2.43321,2.74116,2.78837,3.59335,5.85,2.85117
2931,2021-01-10,00:00.0,0,0.231189,0.607679,0.709796,1.07186,1.31507,2.04322,2.08673,2.35075,2.39105,3.1099,5.87,2.44455
2932,2021-01-11,00:00.0,0,0.192637,0.504625,0.591368,0.893174,1.09542,1.69984,1.73603,1.95556,1.98879,2.677,5.89,2.03274
2933,2021-01-12,00:00.0,0,0.158303,0.412857,0.485901,0.734045,0.899808,1.39404,1.42372,1.60363,1.63057,2.30376,5.88,1.66603
2934,2021-01-13,00:00.0,0,0.127628,0.330868,0.391671,0.591872,0.725041,1.12083,1.14468,1.28921,1.31052,1.9659,5.89,1.33839
2935,2021-01-14,00:00.0,0,0.100642,0.259558,0.308628,0.466548,0.571269,0.881579,0.900331,1.01379,1.03033,1.64077,5.87,1.05173
2936,2021-01-15,00:00.0,0,0.077411,0.198697,0.236683,0.357781,0.438045,0.675525,0.689866,0.776362,0.788952,1.33994,5.87,0.805034
2937,2021-01-16,00:00.0,1.00475,0.138476,0.363805,0.424144,0.644744,0.791299,1.22601,1.25243,1.41099,1.43447,1.25007,5.87,1.46505
2938,2021-01-17,00:00.0,0.20095,0.193034,0.511321,0.591631,0.901131,1.10691,1.71783,1.75505,1.97799,2.01121,1.45731,5.89,2.05475
2939,2021-01-18,00:00.0,1.00475,0.160307,0.424232,0.490296,0.747048,0.917769,1.42453,1.45539,1.63981,1.66733,1.62792,5.9,1.70331
2940,2021-01-19,00:00.0,2.0095,0.131066,0.346423,0.399758,0.609382,0.748778,1.16248,1.18766,1.33767,1.36009,1.5893,5.89,1.38931
2941,2021-01-20,00:00.0,1.00475,0.104941,0.276904,0.318867,0.486385,0.597793,0.928355,0.948457,1.06772,1.08558,1.44316,5.9,1.10877
2942,2021-01-21,00:00.0,0,0.0851171,0.224224,0.257672,0.393289,0.48349,0.751068,0.767327,0.86339,0.87781,1.25669,5.91,0.896448
2943,2021-01-22,00:00.0,3.01425,0.0690225,0.181494,0.208091,0.317836,0.390837,0.607336,0.62048,0.697781,0.709414,1.06846,4.84,0.724377
2944,2021-01-23,00:00.0,1.00475,0.0511257,0.133885,0.152716,0.233626,0.287461,0.447024,0.456693,0.512971,0.521487,0.908216,3.94,0.532321
2945,2021-01-24,00:00.0,0,0.0395983,0.103316,0.117295,0.1797,0.22123,0.344261,0.351703,0.394613,0.40114,0.78633,3.92,0.409358
2946,2021-01-25,00:00.0,0,0.0353791,0.0923076,0.104797,0.160553,0.197658,0.30758,0.314229,0.352567,0.358398,0.686241,3.93,0.36574
2947,2021-01-26,00:00.0,0,0.0267668,0.0694863,0.0783795,0.12032,0.148241,0.230894,0.235881,0.264267,0.268614,0.593159,3.94,0.27401
2948,2021-01-27,00:00.0,10.0475,0.0129923,0.032793,0.0360671,0.0557804,0.0689273,0.107686,0.109992,0.122124,0.124064,0.491969,3.89,0.126259
2949,2021-01-28,00:00.0,0,0.0029196,0.00686326,0.00713764,0.0112189,0.0139538,0.0219274,0.0223836,0.0242205,0.0245643,0.385172,3.88,0.0248281
2950,2021-01-29,00:00.0,0,0,0,0,0,0,0,0,0,0,0.290751,3.9,0
2951,2021-01-30,00:00.0,0.401899,0,0,0,0,0,0,0,0,0,0.217776,3.88,0
2952,2021-01-31,00:00.0,0,0,0,0,0,0,0,0,0,0,0.163117,3.88,0
2953,2021-02-01,00:00.0,0,0,0,0,0,0,0,0,0,0,0.122177,3.85,0
2954,2021-02-02,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0910767,3.85,0
2955,2021-02-03,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0666647,3.85,0
2956,2021-02-04,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0470156,3.86,0
2957,2021-02-05,00:00.0,7.03324,0,0,0,0,0,0,0,0,0,0.0328439,3.87,0
2958,2021-02-06,00:00.0,3.01425,0,0,0,0,0,0,0,0,0,0.0234568,3.87,0
2959,2021-02-07,00:00.0,4.01899,0,0,0,0,0,0,0,0,0,0.0169976,3.82,0
2960,2021-02-08,00:00.0,0.20095,0,0,0,0,0,0,0,0,0,0.0127314,3.81,0
2961,2021-02-09,00:00.0,0.602849,0,0,0,0,0,0,0,0,0,0.00953602,3.83,0
2962,2021-02-10,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0071426,3.82,0
2963,2021-02-11,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0053499,3.83,0
2964,2021-02-12,00:00.0,1.00475,0,0,0,0,0,0,0,0,0,0.00400714,3.84,0
2965,2021-02-13,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0030014,3.84,0
2966,2021-02-14,00:00.0,5.02374,0,0,0,0,0,0,0,0,0,0.00224809,3.86,0
2967,2021-02-15,00:00.0,2.0095,0,0,0,0,0,0,0,0,0,0.00168385,3.86,0
2968,2021-02-16,00:00.0,13.0617,0,0,0,0,0,0,0,0,0,0.00126122,3.86,0
2969,2021-02-17,00:00.0,2.0095,0,0,0,0,0,0,0,0,0,0.000944671,3.89,0
2970,2021-02-18,00:00.0,0,0,0,0,0,0,0,0,0,0,0.000707571,3.91,0
2971,2021-02-19,00:00.0,6.02849,0,0,0,0,0,0,0,0,0,0.00052998,3.9,0
2972,2021-02-20,00:00.0,3.01425,0,0,0,0,0,0,0,0,0,0.000226963,3.92,0
2973,2021-02-21,00:00.0,0,0,0,0,0,0,0,0,0,0,0,3.93,0
2974,2021-02-22,00:00.0,8.03799,0,0,0,0,0,0,0,0,0,0,3.96,0
2975,2021-02-23,00:00.0,2.0095,0,0,0,0,0,0,0,0,0,0,5.09,0
2976,2021-02-24,00:00.0,1.00475,0,0,0,0,0,0,0,0,0,0,5.47,0
2977,2021-02-25,00:00.0,0,0.121476,0.336627,0.375859,0.578065,0.712989,1.11523,1.14001,1.2876,1.31013,0.161196,5.27,1.34083
2978,2021-02-26,00:00.0,1.00475,0.220644,0.612274,0.682177,1.04982,1.29517,2.02672,2.07179,2.33988,2.38086,0.585548,5.25,2.43675
2979,2021-02-27,00:00.0,4.01899,0.181219,0.504359,0.559368,0.861961,1.06398,1.66646,1.70359,1.92379,1.95758,1.06218,5.23,2.00368
2980,2021-02-28,00:00.0,0,0.14881,0.415489,0.458506,0.707558,0.873902,1.3701,1.4007,1.58153,1.60938,1.35039,5.22,1.64743
2981,2021-03-01,00:00.0,0,0.117039,0.328541,0.359529,0.556168,0.687597,1.0798,1.104,1.24626,1.26831,1.3952,5.21,1.29848
2982,2021-03-02,00:00.0,3.01425,0.0848988,0.240789,0.259272,0.402978,0.499154,0.786377,0.804133,0.907385,0.923586,1.2741,5.21,0.945808
2983,2021-03-03,00:00.0,0,0.0655473,0.187498,0.19919,0.310828,0.385625,0.609139,0.622975,0.70273,0.71537,1.08937,5.21,0.732747
2984,2021-03-04,00:00.0,0,0.0585632,0.16752,0.177966,0.27771,0.344536,0.544235,0.556596,0.627854,0.639147,0.938372,5.2,0.654672
2985,2021-03-05,00:00.0,0,0.0523233,0.149671,0.159003,0.248119,0.307826,0.486246,0.497291,0.560956,0.571046,0.8438,5.43,0.584917
2986,2021-03-06,00:00.0,1.00475,0.0467482,0.133723,0.142062,0.221682,0.275027,0.434437,0.444304,0.501186,0.510201,0.771002,5.82,0.522594
2987,2021-03-07,00:00.0,0,0.0417672,0.119475,0.126925,0.198062,0.245723,0.388147,0.396964,0.447784,0.455839,0.701667,5.81,0.466911
2988,2021-03-08,00:00.0,0,0.0373169,0.106745,0.113401,0.176958,0.219541,0.34679,0.354667,0.400073,0.407269,0.636503,5.81,0.417161
2989,2021-03-09,00:00.0,0,0.0333408,0.0953712,0.101318,0.158103,0.196149,0.309839,0.316877,0.357445,0.363874,0.575873,5.81,0.372713
2990,2021-03-10,00:00.0,0,0.0258438,0.0818269,0.0771216,0.124668,0.156888,0.253963,0.260085,0.293066,0.298804,0.509092,9.55,0.306976
2991,2021-03-11,00:00.0,0,1.27152,3.39056,3.91608,5.94435,7.30299,11.3627,11.6073,13.0805,13.3051,3.46899,11.7,13.6063
2992,2021-03-12,00:00.0,0.20095,4.87414,13.0053,14.6444,22.3944,27.5963,43.1148,44.0426,49.2798,50.1082,23.2173,9.7,51.1863
2993,2021-03-13,00:00.0,0,6.76924,18.0513,20.5083,31.2623,38.4833,60.0539,61.3447,68.8088,69.9769,54.2737,11.1,71.5135
2994,2021-03-14,00:00.0,0,5.96489,15.872,18.4261,27.8969,34.2527,53.2773,54.4203,61.3864,62.4471,66.3453,40.2,63.8748
2995,2021-03-15,00:00.0,0,5.31268,14.135,16.4116,24.8473,30.5079,47.4503,48.4683,54.6725,55.617,60.7518,59.1,56.8879
2996,2021-03-16,00:00.0,0,4.74176,12.6156,14.648,22.1774,27.2296,42.3506,43.2592,48.7967,49.6395,54.3766,35.9,50.7738
2997,2021-03-17,00:00.0,0,4.2363,11.2708,13.0866,19.8133,24.327,37.8361,38.6479,43.5951,44.3481,48.6813,14.8,45.3614
2998,2021-03-18,00:00.0,0,4.37621,11.6422,13.5165,20.4791,25.1446,39.0943,39.934,45.0412,45.8161,46.3533,7.7,46.8579
2999,2021-03-19,00:00.0,0,4.93412,13.1305,15.2365,23.1023,28.3672,44.0951,45.0433,50.7978,51.6689,49.4249,5.78,52.8391
3000,2021-03-20,00:00.0,0,4.81538,12.8165,14.8694,22.5492,27.6886,43.0395,43.9652,49.5805,50.4302,51.8678,5.73,51.5714
3001,2021-03-21,00:00.0,0,4.80958,12.8027,14.8486,22.5284,27.6642,42.9954,43.9197,49.5231,50.3624,51.522,5.7,51.4983
3002,2021-03-22,00:00.0,0,4.90442,12.9327,15.298,23.0461,28.2341,43.7496,44.6818,50.4485,51.307,51.8852,5.66,52.4722
3003,2021-03-23,00:00.0,0,4.48055,11.7173,14.099,21.0573,25.7445,39.84,40.6797,45.9871,46.7906,50.2922,5.68,47.881
3004,2021-03-24,00:00.0,0,4.08682,10.7606,12.7697,19.0382,23.3112,36.2745,37.0354,41.829,42.5847,46.1893,4.93,43.6218
3005,2021-03-25,00:00.0,0,3.77717,10.0382,11.6891,17.3858,21.333,33.4489,34.1461,38.5155,39.2424,42.4089,4.73,40.2542
3006,2021-03-26,00:00.0,26.5254,4.71828,12.689,14.347,21.3103,26.2287,41.5654,42.4262,47.7349,48.6858,44.7411,5.55,49.9545
3007,2021-03-27,00:00.0,3.61709,5.47317,14.8253,16.5722,24.6493,30.3908,48.3176,49.3177,55.455,56.5652,52.9529,14.3,58.0383
3008,2021-03-28,00:00.0,1.2057,4.8516,13.1826,14.7463,21.9658,27.0979,43.0427,43.9347,49.4282,50.4017,54.6391,36.1,51.7312
3009,2021-03-29,00:00.0,1.00475,4.28749,11.6442,13.0275,19.4015,23.9342,38.0189,38.8059,43.6527,44.512,49.2297,46.5,45.6852
3010,2021-03-30,00:00.0,0,3.7654,10.222,11.4376,17.0296,21.008,33.3733,34.0636,38.3147,39.0688,43.5674,49.1,40.0983
3011,2021-03-31,00:00.0,0.20095,3.29012,8.92902,9.99111,14.9023,18.3767,29.1789,29.7813,33.4924,34.1514,38.3329,36.1,35.0508
3012,2021-04-01,00:00.0,0,2.86548,7.77377,8.69878,13.0371,16.0611,25.4667,25.9907,29.2193,29.7934,33.6252,20.8,30.5765
3013,2021-04-02,00:00.0,0,2.52312,6.84355,7.65804,11.5474,14.2093,22.4899,22.9509,25.792,26.2975,29.6118,16.3,26.9869
3014,2021-04-03,00:00.0,0,2.25428,6.11436,6.84207,10.3872,12.7653,20.1637,20.5756,23.1139,23.5656,26.3663,12.8,24.1815
3015,2021-04-04,00:00.0,0,2.01409,5.46288,6.11305,9.36333,11.4881,18.0982,18.4662,20.7341,21.1376,23.6716,7.17,21.6879
3016,2021-04-05,00:00.0,0,1.72433,4.67398,5.23062,8.10386,9.92099,15.5775,15.8919,17.8298,18.1753,20.9495,5.22,18.6463
3017,2021-04-06,00:00.0,0.20095,1.37632,3.72385,4.16815,6.54762,7.99347,12.5026,12.7518,14.2902,14.5662,17.7627,5.2,14.9416
3018,2021-04-07,00:00.0,0,1.0287,2.77401,3.10611,4.97128,6.04575,9.4081,9.59199,10.7304,10.9369,14.3033,5.21,11.2168
3019,2021-04-08,00:00.0,0,0.695426,1.8629,2.08742,3.44276,4.16087,6.42336,6.54454,7.29883,7.43874,10.8793,5.19,7.62707
3020,2021-04-09,00:00.0,0.401899,0.397659,1.04887,1.17727,2.06475,2.46447,3.74428,3.80945,4.22057,4.30099,7.69921,5.19,4.40749
3021,2021-04-10,00:00.0,0,0.163497,0.442751,0.46098,0.987734,1.1501,1.69572,1.72034,1.87566,1.91242,4.99251,5.2,1.96026
3022,2021-04-11,00:00.0,4.42089,0.0519819,0.163196,0.128707,0.482018,0.537851,0.74135,0.748987,0.794146,0.809305,3.0311,5.18,0.82822
3023,2021-04-12,00:00.0,31.0467,1.04504,2.81116,3.17693,5.0467,6.15271,9.53918,9.73333,10.9132,11.1113,4.62477,5.19,11.3801
3024,2021-04-13,00:00.0,4.01899,1.85936,4.97401,5.66425,8.78807,10.7502,16.7376,17.0829,19.1803,19.5278,11.1984,5.2,20.0004
3025,2021-04-14,00:00.0,0,1.46234,3.8875,4.44457,6.96229,8.49681,13.1755,13.4447,15.0779,15.3473,15.4578,5.14,15.7116
3026,2021-04-15,00:00.0,0,1.08286,2.85775,3.28326,5.21346,6.3426,9.78121,9.97862,11.175,11.3711,14.0893,5.08,11.6348
3027,2021-04-16,00:00.0,0.20095,0.83641,2.19255,2.53042,4.07906,4.94614,7.58378,7.7349,8.64977,8.79888,11.4393,5.03,8.99832
3028,2021-04-17,00:00.0,0,0.715809,1.8723,2.164,3.531,4.27166,6.52387,6.65282,7.43322,7.56017,9.418,5.02,7.72966
3029,2021-04-18,00:00.0,0,0.531171,1.37457,1.60022,2.67262,3.21717,4.8701,4.96443,5.53435,5.62617,7.71099,5.02,5.74768
3030,2021-04-19,00:00.0,0,0.266618,0.655815,0.790295,1.42648,1.68813,2.47543,2.51962,2.78448,2.82506,5.63097,5.03,2.87621
3031,2021-04-20,00:00.0,4.42089,0.0667433,0.146911,0.191302,0.506228,0.565817,0.741481,0.750953,0.806533,0.813906,3.51188,5.05,0.821731
3032,2021-04-21,00:00.0,1.00475,0,0,0,0.212039,0.212039,0.212039,0.212039,0.212039,0.212039,2.06042,5.05,0.212039
3033,2021-04-22,00:00.0,0,0,0,0,0.204618,0.204618,0.204618,0.204618,0.204618,0.204618,1.29051,5.05,0.204618
3034,2021-04-23,00:00.0,0,0,0,0,0.197458,0.197458,0.197458,0.197458,0.197458,0.197458,0.887622,5.07,0.197458
3035,2021-04-24,00:00.0,0,0,0,0,0.188674,0.188674,0.188674,0.188674,0.188674,0.188674,0.689979,5.09,0.188674
3036,2021-04-25,00:00.0,1.2057,0,0,0,0.173886,0.173886,0.173886,0.173886,0.173886,0.173886,0.532769,5.1,0.173886
3037,2021-04-26,00:00.0,0,0,0,0,0.157644,0.157644,0.157644,0.157644,0.157644,0.157644,0.404006,5.11,0.157644
3038,2021-04-27,00:00.0,0,0,0,0,0.14759,0.14759,0.14759,0.14759,0.14759,0.14759,0.324539,5.13,0.14759
3039,2021-04-28,00:00.0,0.602849,0,0,0,0.135423,0.135423,0.135423,0.135423,0.135423,0.135423,0.253336,5.14,0.135423
3040,2021-04-29,00:00.0,1.2057,0,0,0,0.118063,0.118063,0.118063,0.118063,0.118063,0.118063,0.176021,4.65,0.118063
3041,2021-04-30,00:00.0,6.02849,0,0,0,0.10131,0.10131,0.10131,0.10131,0.10131,0.10131,0.113831,3.98,0.10131
3042,2021-05-01,00:00.0,0,0,0,0,0.0891852,0.0891852,0.0891852,0.0891852,0.0891852,0.0891852,0.0782099,3.95,0.0891852
3043,2021-05-02,00:00.0,1.00475,0,0,0,0.0837955,0.0837955,0.0837955,0.0837955,0.0837955,0.0837955,0.0721021,3.99,0.0837955
3044,2021-05-03,00:00.0,0,0,0,0,0.0808631,0.0808631,0.0808631,0.0808631,0.0808631,0.0808631,0.074669,3.99,0.0808631
3045,2021-05-04,00:00.0,7.23419,0.0596994,0.141056,0.174511,0.335326,0.391748,0.560834,0.570175,0.62564,0.633863,0.143608,3.99,0.643484
3046,2021-05-05,00:00.0,2.4114,0.113038,0.267083,0.330429,0.563154,0.669988,0.990143,1.00783,1.11285,1.12842,0.328991,3.99,1.14664
3047,2021-05-06,00:00.0,0.20095,0.100994,0.238625,0.295221,0.509877,0.605327,0.89137,0.907172,1.001,1.01491,0.519722,3.98,1.03119
3048,2021-05-07,00:00.0,0,0.0902327,0.2132,0.263765,0.462041,0.547322,0.802886,0.817004,0.900837,0.913266,0.63512,3.96,0.927808
3049,2021-05-08,00:00.0,0,0.0806183,0.190483,0.235661,0.419075,0.495269,0.723603,0.736217,0.811117,0.822222,0.696961,4,0.835214
3050,2021-05-09,00:00.0,0,0.0720284,0.170187,0.210551,0.380468,0.448543,0.652548,0.663818,0.730738,0.740659,0.721251,3.99,0.752267
3051,2021-05-10,00:00.0,0,0.0643538,0.152054,0.188117,0.345763,0.406585,0.588853,0.598922,0.658711,0.667576,0.719709,3.99,0.677947
3052,2021-05-11,00:00.0,0,0.0574969,0.135852,0.168073,0.314552,0.368893,0.53174,0.540736,0.594155,0.602075,0.700869,3.99,0.611341
3053,2021-05-12,00:00.0,0.20095,0.0513705,0.121377,0.150165,0.286469,0.33502,0.480516,0.488554,0.536281,0.543356,0.670906,3.99,0.551635
3054,2021-05-13,00:00.0,0,0.045897,0.108444,0.134165,0.261188,0.304566,0.434559,0.441741,0.484382,0.490704,0.634252,3.95,0.498101
3055,2021-05-14,00:00.0,0,0.0410066,0.0968895,0.119869,0.238418,0.277174,0.393316,0.399732,0.43783,0.443479,0.594055,3.98,0.450087
3056,2021-05-15,00:00.0,0,0.0193495,0.0457186,0.056562,0.141408,0.159696,0.214499,0.217527,0.235504,0.238169,0.525502,3.98,0.241287
3057,2021-05-16,00:00.0,0,0,0,0,0.0491836,0.0491836,0.0491836,0.0491836,0.0491836,0.0491836,0.405653,3.99,0.0491836
3058,2021-05-17,00:00.0,0,0,0,0,0.0332307,0.0332307,0.0332307,0.0332307,0.0332307,0.0332307,0.26283,4.38,0.0332307
3059,2021-05-18,00:00.0,0,0,0,0,0.0116425,0.0116425,0.0116425,0.0116425,0.0116425,0.0116425,0.127191,4.59,0.0116425
3060,2021-05-19,00:00.0,0,0,0,0,0,0,0,0,0,0,0.0312095,4.61,0
3061,2021-05-20,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.62,0
3062,2021-05-21,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.63,0
3063,2021-05-22,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.74,0
3064,2021-05-23,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.86,0
3065,2021-05-24,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.88,0
3066,2021-05-25,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.9,0
3067,2021-05-26,00:00.0,0.602849,0,0,0,0,0,0,0,0,0,0,4.98,0
3068,2021-05-27,00:00.0,4.01899,0,0,0,0,0,0,0,0,0,0,5.06,0
