time,date,hour,precip [mm/day],02GA016 
353,2013-12-20,00:00:00.00,1.00475,0.090903
354,2013-12-21,00:00:00.00,11.6551,0.0824588
355,2013-12-22,00:00:00.00,23.3102,0.101215
356,2013-12-23,00:00:00.00,2.61235,0.131675
357,2013-12-24,00:00:00.00,0,0.139026
358,2013-12-25,00:00:00.00,0,0.136925
359,2013-12-26,00:00:00.00,8.64084,0.130777
360,2013-12-27,00:00:00.00,0.803799,0.123178
361,2013-12-28,00:00:00.00,0,0.115311
362,2013-12-29,00:00:00.00,0,0.106998
363,2013-12-30,00:00:00.00,0,0.0970577
364,2013-12-31,00:00:00.00,0.602849,0.0874137
365,2014-01-01,00:00:00.00,1.00475,0.0795107
366,2014-01-02,00:00:00.00,0,0.0728666
367,2014-01-03,00:00:00.00,0,0.0671741
368,2014-01-04,00:00:00.00,0,0.0622304
369,2014-01-05,00:00:00.00,4.82279,0.0578966
370,2014-01-06,00:00:00.00,19.894,0.0530011
371,2014-01-07,00:00:00.00,3.01425,0.0481153
372,2014-01-08,00:00:00.00,1.40665,0.0438377
373,2014-01-09,00:00:00.00,0.602849,0.0398027
374,2014-01-10,00:00:00.00,1.80855,0.0360381
375,2014-01-11,00:00:00.00,14.8703,0.0314644
376,2014-01-12,00:00:00.00,9.24369,0.0844901
377,2014-01-13,00:00:00.00,0,0.161413
378,2014-01-14,00:00:00.00,0,0.201676
379,2014-01-15,00:00:00.00,0.401899,0.221376
380,2014-01-16,00:00:00.00,1.2057,0.216562
381,2014-01-17,00:00:00.00,7.23419,0.204182
382,2014-01-18,00:00:00.00,4.01899,0.189589
383,2014-01-19,00:00:00.00,1.00475,0.175363
384,2014-01-20,00:00:00.00,1.00475,0.162443
385,2014-01-21,00:00:00.00,0,0.150882
386,2014-01-22,00:00:00.00,0,0.140329
387,2014-01-23,00:00:00.00,1.00475,0.130312
388,2014-01-24,00:00:00.00,0,0.121036
389,2014-01-25,00:00:00.00,13.4636,0.112601
390,2014-01-26,00:00:00.00,2.61235,0.105009
391,2014-01-27,00:00:00.00,7.23419,0.0980888
392,2014-01-28,00:00:00.00,0.20095,0.0914408
393,2014-01-29,00:00:00.00,0,0.0849541
394,2014-01-30,00:00:00.00,0.401899,0.0788378
395,2014-01-31,00:00:00.00,1.80855,0.0731848
396,2014-02-01,00:00:00.00,2.21045,0.0671647
397,2014-02-02,00:00:00.00,14.6693,0.0600582
398,2014-02-03,00:00:00.00,0.20095,0.052386
399,2014-02-04,00:00:00.00,0,0.0457188
400,2014-02-05,00:00:00.00,5.62659,0.0402703
401,2014-02-06,00:00:00.00,7.23419,0.035561
402,2014-02-07,00:00:00.00,1.80855,0.0314717
403,2014-02-08,00:00:00.00,0,0.0279063
404,2014-02-09,00:00:00.00,0.602849,0.0247864
405,2014-02-10,00:00:00.00,2.0095,0.0220476
406,2014-02-11,00:00:00.00,0,0.0196367
407,2014-02-12,00:00:00.00,0,0.0175092
408,2014-02-13,00:00:00.00,0,0.015628
409,2014-02-14,00:00:00.00,0,0.0139614
410,2014-02-15,00:00:00.00,0,0.0114123
411,2014-02-16,00:00:00.00,1.6076,0.00865281
412,2014-02-17,00:00:00.00,0.803799,0.00658228
413,2014-02-18,00:00:00.00,8.03799,0.00502789
414,2014-02-19,00:00:00.00,0,0.00370417
415,2014-02-20,00:00:00.00,0,0.00261018
416,2014-02-21,00:00:00.00,13.0617,0.00183006
417,2014-02-22,00:00:00.00,0.401899,0.00117295
418,2014-02-23,00:00:00.00,0,0.000662948
419,2014-02-24,00:00:00.00,1.2057,0.000413897
420,2014-02-25,00:00:00.00,1.80855,0.000315464
421,2014-02-26,00:00:00.00,2.21045,0.000241545
422,2014-02-27,00:00:00.00,0,0.000185995
423,2014-02-28,00:00:00.00,1.6076,0.00014421
424,2014-03-01,00:00:00.00,0,0.000112741
425,2014-03-02,00:00:00.00,2.61235,8.90054e-05
426,2014-03-03,00:00:00.00,0,7.10672e-05
427,2014-03-04,00:00:00.00,0,5.74772e-05
428,2014-03-05,00:00:00.00,3.61709,4.71496e-05
429,2014-03-06,00:00:00.00,0.602849,3.92706e-05
430,2014-03-07,00:00:00.00,0,3.32307e-05
431,2014-03-08,00:00:00.00,0,2.85733e-05
432,2014-03-09,00:00:00.00,0,-0.000152296
433,2014-03-10,00:00:00.00,0,-0.000152296
434,2014-03-11,00:00:00.00,0,-0.0010339
435,2014-03-12,00:00:00.00,1.6076,0.0990173
436,2014-03-13,00:00:00.00,2.8133,0.234869
437,2014-03-14,00:00:00.00,0,0.274086
438,2014-03-15,00:00:00.00,0.602849,0.272137
439,2014-03-16,00:00:00.00,0,0.257076
440,2014-03-17,00:00:00.00,0,0.239834
441,2014-03-18,00:00:00.00,0,0.223317
442,2014-03-19,00:00:00.00,0,0.207903
443,2014-03-20,00:00:00.00,5.62659,0.188792
444,2014-03-21,00:00:00.00,0,0.167602
445,2014-03-22,00:00:00.00,6.63134,0.15006
446,2014-03-23,00:00:00.00,0,0.133475
447,2014-03-24,00:00:00.00,0,0.118982
448,2014-03-25,00:00:00.00,0,0.108393
449,2014-03-26,00:00:00.00,1.00475,0.100094
450,2014-03-27,00:00:00.00,0,0.0928358
451,2014-03-28,00:00:00.00,11.4541,0.0859873
452,2014-03-29,00:00:00.00,2.21045,0.109043
453,2014-03-30,00:00:00.00,0,0.141848
454,2014-03-31,00:00:00.00,0,0.144058
455,2014-04-01,00:00:00.00,0,0.209581
456,2014-04-02,00:00:00.00,0,0.399334
457,2014-04-03,00:00:00.00,0,0.53225
458,2014-04-04,00:00:00.00,0,0.530421
459,2014-04-05,00:00:00.00,12.8608,0.581487
460,2014-04-06,00:00:00.00,0,0.634867
461,2014-04-07,00:00:00.00,0,0.608323
462,2014-04-08,00:00:00.00,6.83229,0.672336
